x,y,z,f1,n_pix,concentration,R_circ,angle_3d_deg,angle_inplane_deg,dyad_inplane_deg,psoct_x,psoct_y,psoct_z,dyad_x,dyad_y,dyad_z
175,159,58,0.6151860778665917,95,0.6992796115287807,0.9092053373015011,17.589939821942004,9.924108435322804,75.03828558596705,-0.9993884365443048,0.032315083762228775,-0.013359949961377873,0.9421657,-0.29451922,0.15994464
166,161,64,0.7522785690167185,65,0.9536837223149245,0.9545612664537092,5.995413544410635,3.439347718952906,83.80883452530631,-0.9421682951736509,-0.023706705797053855,0.3343006067446309,-0.9173714,-0.11372025,0.38144138
179,155,53,0.7243663831780145,92,0.7126703472931746,0.5795007212860742,32.10139137594567,11.2118603848245,58.85177797115267,-0.9915702493733674,0.0487399860281087,-0.12005354771774931,-0.84043735,0.53231335,0.101526394
164,170,71,0.6022041458238061,95,0.39571522082743443,0.4759614548530945,88.96995245843809,82.62619707067597,4.463889858680631,-0.9868058782586465,0.004574583372894321,0.16184323223769892,0.04716855,0.987771,0.14860559
165,165,64,0.9199582170980656,60,0.9182867822519158,0.9530235645175023,8.445956873855101,5.676299667540252,82.94393263149705,-0.9728064186115074,-0.006729950048289774,0.23152187732609691,-0.940816,-0.1232613,0.3157087
173,154,53,0.7824350730244415,78,0.9735977067152464,0.9677306026312293,11.839698084780956,10.29976934673358,83.19762857208637,-0.9897794614521674,0.05074982276715019,-0.13327067635665563,-0.98879266,0.13961838,0.052875895
170,163,61,0.719450838805637,55,0.965880258371518,0.9648380521798586,4.142634765981063,3.020640130121007,87.43211622148976,-0.9995522806524467,0.029250350476433578,0.006297240625726626,-0.99819124,-0.02406635,0.05509168
175,174,68,0.6326911116311407,95,0.9040170500595591,0.9347971268843472,3.6663002838220233,0.7622770911120038,83.86183261214279,-0.8637813200249341,0.10314513788232857,-0.49319662580680496,0.86465406,-0.16438809,0.47471035
189,179,63,0.9622805870691882,96,0.33976947171584715,0.3167993634893316,37.799360146355085,1.9650840531450053,54.72377621580956,-0.8731669617806119,0.10087909301892467,-0.47686776515769536,0.7419096,0.53004223,0.41064018
169,192,50,0.7425359005564616,85,0.9034509164525809,0.956559098432066,37.166039507710785,12.521312621751711,59.321403545004955,-0.2653844925169463,0.15658964798013467,-0.9513415544781908,0.058323458,0.44349736,0.89437604
168,160,58,0.958005143440539,88,0.9782515159063202,0.9780006563396381,10.012562074395243,6.192599863122497,81.3948715039025,-0.9762323423624585,-0.004309189335203661,0.2166837433052633,-0.98618877,-0.13279332,0.09898321
185,165,66,0.8101711011800984,96,0.8159176385668983,0.7628983765769712,2.6343525558039036,1.040997162667355,87.28272606939414,-0.9995430758841384,0.030226435950288063,4.496463830701181e-05,0.9971737,-0.07363649,0.0149056725
